year,mileage,brand,model,price,age,price_per_year,mileage_per_year
2015,55727,Maruti Suzuki,SUV,3660623,10,366062.3,5572.7
2014,152578,Mahindra,MPV,1086099,11,98736.27,13870.73
2012,151885,Hyundai,Hatchback,2488608,13,191431.38,11683.46
2012,153847,Honda,Hatchback,525562,13,40427.85,11834.38
2020,129296,Hyundai,SUV,1952649,5,390529.8,25859.2
2008,130202,Hyundai,SUV,353091,17,20770.06,7658.94
2015,107883,Kia,Compact SUV,417153,10,41715.3,10788.3
2004,70403,Honda,Sedan,2931275,21,139584.52,3352.52
2018,41251,Hyundai,Hatchback,739476,7,105639.43,5893.0
2010,86046,Maruti Suzuki,Hatchback,559320,15,37288.0,5736.4
2003,20629,Honda,Hatchback,2292671,22,104212.32,937.68
2016,23918,MG,SUV,572453,9,63605.89,2657.56
2020,184059,Tata,Hatchback,3540981,5,708196.2,36811.8
2003,196956,Toyota,SUV,1307948,22,59452.18,8952.55
2021,93260,Tata,Hatchback,3435200,4,858800.0,23315.0
2013,95137,MG,Luxury,1863187,12,155265.58,7928.08
2002,165543,MG,SUV,1631160,23,70920.0,7197.52
2005,146378,Toyota,Sedan,746312,20,37315.6,7318.9
2006,117862,Toyota,Sedan,3754166,19,197587.68,6203.26
2000,88788,Tata,Hatchback,2017539,25,80701.56,3551.52
2010,169833,Honda,Hatchback,495160,15,33010.67,11322.2
2013,174290,Kia,Compact SUV,3319757,12,276646.42,14524.17
2013,48074,Toyota,MPV,1715197,12,142933.08,4006.17
2017,88635,Maruti Suzuki,Hatchback,609920,8,76240.0,11079.38
2015,23682,MG,SUV,1486600,10,148660.0,2368.2
2020,33900,Toyota,SUV,2006335,5,401267.0,6780.0
2012,78636,MG,SUV,3569490,13,274576.15,6048.92
2012,86674,MG,SUV,3762931,13,289456.23,6667.23
2020,178360,Hyundai,Sedan,2691742,5,538348.4,35672.0
2016,160003,Kia,Compact SUV,3244995,9,360555.0,17778.11
2007,93077,Honda,Hatchback,1845369,18,102520.5,5170.94
2013,183408,Maruti Suzuki,Sedan,1903587,12,158632.25,15284.0
2021,46323,Kia,Compact SUV,2015976,4,503994.0,11580.75
2010,130204,Kia,Compact SUV,3542671,15,236178.07,8680.27
2008,133438,Kia,SUV,1597862,17,93991.88,7849.29
2012,66931,MG,SUV,2256741,13,173595.46,5148.54
2020,51753,Hyundai,SUV,3743849,5,748769.8,10350.6
2003,39525,Hyundai,SUV,1633375,22,74244.32,1796.59
2015,189830,Hyundai,Hatchback,685944,10,68594.4,18983.0
2002,42466,Honda,Hatchback,2389325,23,103883.7,1846.35
2010,129419,Honda,Hatchback,2517490,15,167832.67,8627.93
2009,30149,Toyota,MPV,2919492,16,182468.25,1884.31
2014,85378,Kia,SUV,2514411,11,228582.82,7761.64
2019,34691,Hyundai,Sedan,2236832,6,372805.33,5781.83
2015,102135,Mahindra,SUV,322450,10,32245.0,10213.5
2018,43618,Tata,Hatchback,631783,7,90254.71,6231.14
2001,171528,MG,SUV,2251632,24,93818.0,7147.0
2004,93864,Maruti Suzuki,SUV,3234959,21,154045.67,4469.71
2011,69906,Toyota,Sedan,2463449,14,175960.64,4993.29
2006,34615,MG,SUV,2219248,19,116802.53,1821.84
2021,148490,Kia,Compact SUV,1239658,4,309914.5,37122.5
2004,105235,Maruti Suzuki,SUV,2461091,21,117194.81,5011.19
2006,56782,Mahindra,SUV,3394874,19,178677.58,2988.53
2011,52971,MG,Luxury,2754072,14,196719.43,3783.64
2018,176049,MG,SUV,1765650,7,252235.71,25149.86
2000,146265,Honda,Sedan,359001,25,14360.04,5850.6
2022,80606,Honda,Sedan,1348306,3,449435.33,26868.67
2021,72334,Mahindra,SUV,3966648,4,991662.0,18083.5
2002,106026,Tata,Hatchback,1958127,23,85135.96,4609.83
2015,191494,Maruti Suzuki,Hatchback,636912,10,63691.2,19149.4
2016,113739,Honda,Sedan,3326145,9,369571.67,12637.67
2019,55999,Maruti Suzuki,SUV,1688057,6,281342.83,9333.17
2003,29030,Toyota,Sedan,2227376,22,101244.36,1319.55
2007,85579,Honda,Hatchback,868063,18,48225.72,4754.39
2006,190850,Mahindra,MPV,2267826,19,119359.26,10044.74
2019,153837,Maruti Suzuki,Sedan,660531,6,110088.5,25639.5
2010,59611,Hyundai,SUV,1891632,15,126108.8,3974.07
2002,188670,Mahindra,SUV,2014162,23,87572.26,8203.04
2011,88682,Toyota,SUV,667973,14,47712.36,6334.43
2012,30521,MG,SUV,2363545,13,181811.15,2347.77
2008,49848,Maruti Suzuki,Hatchback,3603585,17,211975.59,2932.24
2004,73328,Mahindra,MPV,1486919,21,70805.67,3491.81
2011,96663,Hyundai,Sedan,2889640,14,206402.86,6904.5
2014,103764,Toyota,Sedan,3097875,11,281625.0,9433.09
2001,155746,Maruti Suzuki,SUV,710157,24,29589.88,6489.42
2017,68000,Honda,Hatchback,2799767,8,349970.88,8500.0
2005,152513,Hyundai,SUV,1059738,20,52986.9,7625.65
2018,130203,Toyota,SUV,2409771,7,344253.0,18600.43
2017,132372,Honda,Hatchback,564210,8,70526.25,16546.5
2009,51015,Kia,SUV,3383181,16,211448.81,3188.44
2003,77815,Toyota,MPV,2936354,22,133470.64,3537.05
2003,115217,Honda,Hatchback,1781142,22,80961.0,5237.14
2018,41977,MG,Luxury,2925555,7,417936.43,5996.71
2015,64920,Mahindra,SUV,540909,10,54090.9,6492.0
2007,79442,Toyota,SUV,1713117,18,95173.17,4413.44
2016,33802,Hyundai,Sedan,2259329,9,251036.56,3755.78
2018,158759,Mahindra,SUV,965682,7,137954.57,22679.86
2000,49628,Maruti Suzuki,SUV,1650078,25,66003.12,1985.12
2015,58754,Hyundai,Sedan,1607258,10,160725.8,5875.4
2001,140141,Tata,Hatchback,2580434,24,107518.08,5839.21
2019,69549,Kia,SUV,987355,6,164559.17,11591.5
2017,173030,MG,SUV,3219831,8,402478.88,21628.75
2005,173653,Maruti Suzuki,Hatchback,3863286,20,193164.3,8682.65
2015,45579,Mahindra,MPV,3706598,10,370659.8,4557.9
2017,119767,Tata,Sedan,1914816,8,239352.0,14970.88
2021,73302,Toyota,SUV,1783860,4,445965.0,18325.5
2007,139153,Honda,Sedan,1433832,18,79657.33,7730.72
2009,156510,Maruti Suzuki,Hatchback,2063700,16,128981.25,9781.88
2019,184846,MG,Luxury,685588,6,114264.67,30807.67
2017,80133,Tata,Hatchback,3080620,8,385077.5,10016.62
2003,138311,Toyota,Sedan,3990402,22,181381.91,6286.86
2006,66923,MG,SUV,1608696,19,84668.21,3522.26
2006,49183,Hyundai,Sedan,3484834,19,183412.32,2588.58
2006,109004,Toyota,MPV,1244627,19,65506.68,5737.05
2020,130637,Mahindra,SUV,621397,5,124279.4,26127.4
2019,58534,Tata,Hatchback,1369241,6,228206.83,9755.67
2020,89835,Kia,SUV,3294098,5,658819.6,17967.0
2003,102667,Mahindra,MPV,3302105,22,150095.68,4666.68
2012,130006,Maruti Suzuki,SUV,2910546,13,223888.15,10000.46
2009,64314,Tata,Hatchback,3389017,16,211813.56,4019.62
2011,174788,Honda,Hatchback,3950696,14,282192.57,12484.86
2015,97328,Tata,SUV,780322,10,78032.2,9732.8
2019,24811,Mahindra,SUV,2032330,6,338721.67,4135.17
2017,93450,Tata,Hatchback,2765023,8,345627.88,11681.25
2012,41269,Toyota,SUV,3352091,13,257853.15,3174.54
2019,191097,Toyota,SUV,2565937,6,427656.17,31849.5
2005,74775,Hyundai,Sedan,707526,20,35376.3,3738.75
2003,69433,Toyota,SUV,3196067,22,145275.77,3156.05
2020,186896,Tata,Sedan,1768854,5,353770.8,37379.2
2007,66975,Toyota,MPV,2393262,18,132959.0,3720.83
2002,96705,MG,Luxury,417240,23,18140.87,4204.57
2008,105164,Toyota,MPV,1494021,17,87883.59,6186.12
2018,108942,Tata,Sedan,2146864,7,306694.86,15563.14
2006,176764,MG,SUV,2280705,19,120037.11,9303.37
2019,130422,Hyundai,Hatchback,1831082,6,305180.33,21737.0
2009,137889,Toyota,Sedan,2000558,16,125034.88,8618.06
2012,143572,Honda,Hatchback,3987100,13,306700.0,11044.0
2003,166875,Toyota,MPV,2098867,22,95403.05,7585.23
